"","Gender","Age","AgeGroup","Education","City","SubjectCode","Score","GivenScore","Stimulus","Prefix","WordType","CorpusFrequency"
"81","female",16,"child","school","Izhevsk","AB","D",2,"umarvit","u","nonce",0
"82","female",16,"child","school","Izhevsk","AB","A",5,"okruglit","o","standard",939
"83","female",16,"child","school","Izhevsk","AB","C",3,"umedlit","u","marginal",1
"84","female",16,"child","school","Izhevsk","AB","A",5,"uluchshit","u","standard",1899
"85","female",16,"child","school","Izhevsk","AB","A",5,"uslozhnit","u","standard",311
"86","female",16,"child","school","Izhevsk","AB","D",2,"okochlit","o","nonce",0
"87","female",16,"child","school","Izhevsk","AB","E",1,"ukrasivit","u","marginal",1
"88","female",16,"child","school","Izhevsk","AB","D",2,"uloprit","u","nonce",0
"89","female",16,"child","school","Izhevsk","AB","C",3,"obytovit","o","marginal",3
"90","female",16,"child","school","Izhevsk","AB","B",4,"uplotnit","u","standard",201
"91","female",16,"child","school","Izhevsk","AB","D",2,"unokrit","u","nonce",0
"92","female",16,"child","school","Izhevsk","AB","C",3,"oprilichit","o","marginal",1
"93","female",16,"child","school","Izhevsk","AB","B",4,"userjeznit","u","marginal",1
"94","female",16,"child","school","Izhevsk","AB","A",5,"umenshit","u","standard",2010
"95","female",16,"child","school","Izhevsk","AB","E",1,"oduktit","o","nonce",0
"96","female",16,"child","school","Izhevsk","AB","A",5,"obogatit","o","standard",800
"97","female",16,"child","school","Izhevsk","AB","E",1,"uguzvit","u","nonce",0
"98","female",16,"child","school","Izhevsk","AB","C",3,"opoxabit","o","marginal",1
"99","female",16,"child","school","Izhevsk","AB","A",5,"uteplit","u","standard",205
"100","female",16,"child","school","Izhevsk","AB","B",4,"oserjeznit","o","marginal",1
"101","female",16,"child","school","Izhevsk","AB","B",4,"ushadrit","u","nonce",0
"102","female",16,"child","school","Izhevsk","AB","D",2,"ustrozhit","u","marginal",3
"103","female",16,"child","school","Izhevsk","AB","A",5,"ogolit","o","standard",387
"104","female",16,"child","school","Izhevsk","AB","B",4,"ukonkretit","u","marginal",1
"105","female",16,"child","school","Izhevsk","AB","D",2,"osurit","o","nonce",0
"106","female",16,"child","school","Izhevsk","AB","A",5,"ukorotit","u","standard",787
"107","female",16,"child","school","Izhevsk","AB","B",4,"osurovit","o","marginal",2
"108","female",16,"child","school","Izhevsk","AB","E",1,"otovit","o","nonce",0
"109","female",16,"child","school","Izhevsk","AB","B",4,"usovremenit","u","marginal",1
"110","female",16,"child","school","Izhevsk","AB","C",3,"ogabit","o","nonce",0
"111","female",16,"child","school","Izhevsk","AB","A",5,"uskorit","u","standard",2008
"112","female",16,"child","school","Izhevsk","AB","C",3,"uprozrachit","u","marginal",4
"113","female",16,"child","school","Izhevsk","AB","B",4,"ostekljanit","o","marginal",1
"114","female",16,"child","school","Izhevsk","AB","D",2,"oshaklit","o","nonce",0
"115","female",16,"child","school","Izhevsk","AB","A",5,"uxudshit","u","standard",199
"116","female",16,"child","school","Izhevsk","AB","B",4,"ucelomudrit","u","marginal",3
"117","female",16,"child","school","Izhevsk","AB","E",1,"uchopit","u","nonce",0
"118","female",16,"child","school","Izhevsk","AB","A",5,"oslabit","o","standard",1401
"119","female",16,"child","school","Izhevsk","AB","D",2,"usaglit","u","nonce",0
"120","female",16,"child","school","Izhevsk","AB","A",5,"uprostit","u","standard",1350
"121","male",16,"child","school","Izhevsk","AC","A",5,"utochnit","u","standard",2860
"122","male",16,"child","school","Izhevsk","AC","A",5,"ozhestochit","o","standard",686
"123","male",16,"child","school","Izhevsk","AC","E",1,"ovneshnit","o","marginal",4
"124","male",16,"child","school","Izhevsk","AC","E",1,"oblusit","o","nonce",0
"125","male",16,"child","school","Izhevsk","AC","B",4,"osvezhit","o","standard",280
"126","male",16,"child","school","Izhevsk","AC","A",5,"oschastlivit","o","standard",343
"127","male",16,"child","school","Izhevsk","AC","E",1,"udamlit","u","nonce",0
"128","male",16,"child","school","Izhevsk","AC","E",1,"uvkusnit","u","marginal",1
"129","male",16,"child","school","Izhevsk","AC","D",2,"utulit","u","nonce",0
"130","male",16,"child","school","Izhevsk","AC","A",5,"objasnit","o","standard",18149
"131","male",16,"child","school","Izhevsk","AC","E",1,"obmomlit","o","nonce",0
"132","male",16,"child","school","Izhevsk","AC","D",2,"orzhavit","o","marginal",2
"133","male",16,"child","school","Izhevsk","AC","E",1,"ochavit","o","nonce",0
"134","male",16,"child","school","Izhevsk","AC","C",3,"omezhdunarodit","o","marginal",1
"135","male",16,"child","school","Izhevsk","AC","D",2,"onomit","o","nonce",0
"136","male",16,"child","school","Izhevsk","AC","A",5,"oblegchit","o","standard",1802
"137","male",16,"child","school","Izhevsk","AC","C",3,"udorozhit","u","marginal",8
"138","male",16,"child","school","Izhevsk","AC","E",1,"ukampit","u","nonce",0
"139","male",16,"child","school","Izhevsk","AC","A",5,"oslozhnit","o","standard",410
"140","male",16,"child","school","Izhevsk","AC","D",2,"omuzykalit","o","marginal",4
"141","male",16,"child","school","Izhevsk","AC","E",1,"umarvit","u","nonce",0
"142","male",16,"child","school","Izhevsk","AC","A",5,"okruglit","o","standard",939
"143","male",16,"child","school","Izhevsk","AC","C",3,"umedlit","u","marginal",1
"144","male",16,"child","school","Izhevsk","AC","A",5,"uluchshit","u","standard",1899
"145","male",16,"child","school","Izhevsk","AC","A",5,"uslozhnit","u","standard",311
"146","male",16,"child","school","Izhevsk","AC","E",1,"okochlit","o","nonce",0
"147","male",16,"child","school","Izhevsk","AC","D",2,"ukrasivit","u","marginal",1
"148","male",16,"child","school","Izhevsk","AC","E",1,"uloprit","u","nonce",0
"149","male",16,"child","school","Izhevsk","AC","D",2,"obytovit","o","marginal",3
"150","male",16,"child","school","Izhevsk","AC","A",5,"uplotnit","u","standard",201
"151","male",16,"child","school","Izhevsk","AC","D",2,"unokrit","u","nonce",0
"152","male",16,"child","school","Izhevsk","AC","D",2,"oprilichit","o","marginal",1
"153","male",16,"child","school","Izhevsk","AC","D",2,"userjeznit","u","marginal",1
"154","male",16,"child","school","Izhevsk","AC","A",5,"umenshit","u","standard",2010
"155","male",16,"child","school","Izhevsk","AC","E",1,"oduktit","o","nonce",0
"156","male",16,"child","school","Izhevsk","AC","A",5,"obogatit","o","standard",800
"157","male",16,"child","school","Izhevsk","AC","E",1,"uguzvit","u","nonce",0
"158","male",16,"child","school","Izhevsk","AC","C",3,"opoxabit","o","marginal",1
"159","male",16,"child","school","Izhevsk","AC","A",5,"uteplit","u","standard",205
"160","male",16,"child","school","Izhevsk","AC","C",3,"oserjeznit","o","marginal",1
"161","male",16,"child","school","Izhevsk","AC","E",1,"ushadrit","u","nonce",0
"162","male",16,"child","school","Izhevsk","AC","D",2,"ustrozhit","u","marginal",3
"163","male",16,"child","school","Izhevsk","AC","B",4,"ogolit","o","standard",387
"164","male",16,"child","school","Izhevsk","AC","B",4,"ukonkretit","u","marginal",1
"165","male",16,"child","school","Izhevsk","AC","E",1,"osurit","o","nonce",0
"166","male",16,"child","school","Izhevsk","AC","A",5,"ukorotit","u","standard",787
"167","male",16,"child","school","Izhevsk","AC","E",1,"osurovit","o","marginal",2
"168","male",16,"child","school","Izhevsk","AC","E",1,"otovit","o","nonce",0
"169","male",16,"child","school","Izhevsk","AC","D",2,"usovremenit","u","marginal",1
"170","male",16,"child","school","Izhevsk","AC","E",1,"ogabit","o","nonce",0
"171","male",16,"child","school","Izhevsk","AC","A",5,"uskorit","u","standard",2008
"172","male",16,"child","school","Izhevsk","AC","D",2,"uprozrachit","u","marginal",4
"173","male",16,"child","school","Izhevsk","AC","B",4,"ostekljanit","o","marginal",1
"174","male",16,"child","school","Izhevsk","AC","E",1,"oshaklit","o","nonce",0
"175","male",16,"child","school","Izhevsk","AC","A",5,"uxudshit","u","standard",199
"176","male",16,"child","school","Izhevsk","AC","D",2,"ucelomudrit","u","marginal",3
"177","male",16,"child","school","Izhevsk","AC","E",1,"uchopit","u","nonce",0
"178","male",16,"child","school","Izhevsk","AC","A",5,"oslabit","o","standard",1401
"179","male",16,"child","school","Izhevsk","AC","E",1,"usaglit","u","nonce",0
"180","male",16,"child","school","Izhevsk","AC","A",5,"uprostit","u","standard",1350
"181","male",17,"child","school","Izhevsk","AD","A",5,"utochnit","u","standard",2860
"182","male",17,"child","school","Izhevsk","AD","A",5,"ozhestochit","o","standard",686
"183","male",17,"child","school","Izhevsk","AD","E",1,"ovneshnit","o","marginal",4
"184","male",17,"child","school","Izhevsk","AD","E",1,"oblusit","o","nonce",0
"185","male",17,"child","school","Izhevsk","AD","A",5,"osvezhit","o","standard",280
"186","male",17,"child","school","Izhevsk","AD","A",5,"oschastlivit","o","standard",343
"187","male",17,"child","school","Izhevsk","AD","E",1,"udamlit","u","nonce",0
"188","male",17,"child","school","Izhevsk","AD","E",1,"uvkusnit","u","marginal",1
"189","male",17,"child","school","Izhevsk","AD","E",1,"utulit","u","nonce",0
"190","male",17,"child","school","Izhevsk","AD","A",5,"objasnit","o","standard",18149
"191","male",17,"child","school","Izhevsk","AD","D",2,"obmomlit","o","nonce",0
"192","male",17,"child","school","Izhevsk","AD","C",3,"orzhavit","o","marginal",2
"193","male",17,"child","school","Izhevsk","AD","E",1,"ochavit","o","nonce",0
"194","male",17,"child","school","Izhevsk","AD","B",4,"omezhdunarodit","o","marginal",1
"195","male",17,"child","school","Izhevsk","AD","E",1,"onomit","o","nonce",0
"196","male",17,"child","school","Izhevsk","AD","A",5,"oblegchit","o","standard",1802
"197","male",17,"child","school","Izhevsk","AD","E",1,"udorozhit","u","marginal",8
"198","male",17,"child","school","Izhevsk","AD","E",1,"ukampit","u","nonce",0
"199","male",17,"child","school","Izhevsk","AD","A",5,"oslozhnit","o","standard",410
"200","male",17,"child","school","Izhevsk","AD","E",1,"omuzykalit","o","marginal",4
"201","male",17,"child","school","Izhevsk","AD","E",1,"umarvit","u","nonce",0
"202","male",17,"child","school","Izhevsk","AD","A",5,"okruglit","o","standard",939
"203","male",17,"child","school","Izhevsk","AD","E",1,"umedlit","u","marginal",1
"204","male",17,"child","school","Izhevsk","AD","A",5,"uluchshit","u","standard",1899
"205","male",17,"child","school","Izhevsk","AD","A",5,"uslozhnit","u","standard",311
"206","male",17,"child","school","Izhevsk","AD","E",1,"okochlit","o","nonce",0
"207","male",17,"child","school","Izhevsk","AD","E",1,"ukrasivit","u","marginal",1
"208","male",17,"child","school","Izhevsk","AD","E",1,"uloprit","u","nonce",0
"209","male",17,"child","school","Izhevsk","AD","D",2,"obytovit","o","marginal",3
"210","male",17,"child","school","Izhevsk","AD","A",5,"uplotnit","u","standard",201
"211","male",17,"child","school","Izhevsk","AD","E",1,"unokrit","u","nonce",0
"212","male",17,"child","school","Izhevsk","AD","C",3,"oprilichit","o","marginal",1
"213","male",17,"child","school","Izhevsk","AD","B",4,"userjeznit","u","marginal",1
"214","male",17,"child","school","Izhevsk","AD","A",5,"umenshit","u","standard",2010
"215","male",17,"child","school","Izhevsk","AD","E",1,"oduktit","o","nonce",0
"216","male",17,"child","school","Izhevsk","AD","A",5,"obogatit","o","standard",800
"217","male",17,"child","school","Izhevsk","AD","E",1,"uguzvit","u","nonce",0
"218","male",17,"child","school","Izhevsk","AD","A",5,"opoxabit","o","marginal",1
"219","male",17,"child","school","Izhevsk","AD","A",5,"uteplit","u","standard",205
"220","male",17,"child","school","Izhevsk","AD","B",4,"oserjeznit","o","marginal",1
"221","male",17,"child","school","Izhevsk","AD","E",1,"ushadrit","u","nonce",0
"222","male",17,"child","school","Izhevsk","AD","C",3,"ustrozhit","u","marginal",3
"223","male",17,"child","school","Izhevsk","AD","A",5,"ogolit","o","standard",387
"224","male",17,"child","school","Izhevsk","AD","A",5,"ukonkretit","u","marginal",1
"225","male",17,"child","school","Izhevsk","AD","E",1,"osurit","o","nonce",0
"226","male",17,"child","school","Izhevsk","AD","A",5,"ukorotit","u","standard",787
"227","male",17,"child","school","Izhevsk","AD","C",3,"osurovit","o","marginal",2
"228","male",17,"child","school","Izhevsk","AD","E",1,"otovit","o","nonce",0
"229","male",17,"child","school","Izhevsk","AD","A",5,"usovremenit","u","marginal",1
"230","male",17,"child","school","Izhevsk","AD","E",1,"ogabit","o","nonce",0
"231","male",17,"child","school","Izhevsk","AD","A",5,"uskorit","u","standard",2008
"232","male",17,"child","school","Izhevsk","AD","D",2,"uprozrachit","u","marginal",4
"233","male",17,"child","school","Izhevsk","AD","B",4,"ostekljanit","o","marginal",1
"234","male",17,"child","school","Izhevsk","AD","E",1,"oshaklit","o","nonce",0
"235","male",17,"child","school","Izhevsk","AD","A",5,"uxudshit","u","standard",199
"236","male",17,"child","school","Izhevsk","AD","B",4,"ucelomudrit","u","marginal",3
"237","male",17,"child","school","Izhevsk","AD","E",1,"uchopit","u","nonce",0
"238","male",17,"child","school","Izhevsk","AD","A",5,"oslabit","o","standard",1401
"239","male",17,"child","school","Izhevsk","AD","E",1,"usaglit","u","nonce",0
"240","male",17,"child","school","Izhevsk","AD","A",5,"uprostit","u","standard",1350
"241","female",16,"child","school","Izhevsk","AE","A",5,"utochnit","u","standard",2860
"242","female",16,"child","school","Izhevsk","AE","A",5,"ozhestochit","o","standard",686
"243","female",16,"child","school","Izhevsk","AE","E",1,"ovneshnit","o","marginal",4
"244","female",16,"child","school","Izhevsk","AE","D",2,"oblusit","o","nonce",0
"245","female",16,"child","school","Izhevsk","AE","A",5,"osvezhit","o","standard",280
"246","female",16,"child","school","Izhevsk","AE","A",5,"oschastlivit","o","standard",343
"247","female",16,"child","school","Izhevsk","AE","E",1,"udamlit","u","nonce",0
"248","female",16,"child","school","Izhevsk","AE","E",1,"uvkusnit","u","marginal",1
"249","female",16,"child","school","Izhevsk","AE","E",1,"utulit","u","nonce",0
"250","female",16,"child","school","Izhevsk","AE","A",5,"objasnit","o","standard",18149
"251","female",16,"child","school","Izhevsk","AE","E",1,"obmomlit","o","nonce",0
"252","female",16,"child","school","Izhevsk","AE","E",1,"orzhavit","o","marginal",2
"253","female",16,"child","school","Izhevsk","AE","D",2,"ochavit","o","nonce",0
"254","female",16,"child","school","Izhevsk","AE","E",1,"omezhdunarodit","o","marginal",1
"255","female",16,"child","school","Izhevsk","AE","E",1,"onomit","o","nonce",0
"256","female",16,"child","school","Izhevsk","AE","A",5,"oblegchit","o","standard",1802
"257","female",16,"child","school","Izhevsk","AE","C",3,"udorozhit","u","marginal",8
"258","female",16,"child","school","Izhevsk","AE","E",1,"ukampit","u","nonce",0
"259","female",16,"child","school","Izhevsk","AE","A",5,"oslozhnit","o","standard",410
"260","female",16,"child","school","Izhevsk","AE","E",1,"omuzykalit","o","marginal",4
"261","female",16,"child","school","Izhevsk","AE","E",1,"umarvit","u","nonce",0
"262","female",16,"child","school","Izhevsk","AE","A",5,"okruglit","o","standard",939
"263","female",16,"child","school","Izhevsk","AE","E",1,"umedlit","u","marginal",1
"264","female",16,"child","school","Izhevsk","AE","A",5,"uluchshit","u","standard",1899
"265","female",16,"child","school","Izhevsk","AE","A",5,"uslozhnit","u","standard",311
"266","female",16,"child","school","Izhevsk","AE","E",1,"okochlit","o","nonce",0
"267","female",16,"child","school","Izhevsk","AE","E",1,"ukrasivit","u","marginal",1
"268","female",16,"child","school","Izhevsk","AE","E",1,"uloprit","u","nonce",0
"269","female",16,"child","school","Izhevsk","AE","E",1,"obytovit","o","marginal",3
"270","female",16,"child","school","Izhevsk","AE","A",5,"uplotnit","u","standard",201
"271","female",16,"child","school","Izhevsk","AE","D",2,"unokrit","u","nonce",0
"272","female",16,"child","school","Izhevsk","AE","C",3,"oprilichit","o","marginal",1
"273","female",16,"child","school","Izhevsk","AE","E",1,"userjeznit","u","marginal",1
"274","female",16,"child","school","Izhevsk","AE","A",5,"umenshit","u","standard",2010
"275","female",16,"child","school","Izhevsk","AE","E",1,"oduktit","o","nonce",0
"276","female",16,"child","school","Izhevsk","AE","A",5,"obogatit","o","standard",800
"277","female",16,"child","school","Izhevsk","AE","E",1,"uguzvit","u","nonce",0
"278","female",16,"child","school","Izhevsk","AE","C",3,"opoxabit","o","marginal",1
"279","female",16,"child","school","Izhevsk","AE","A",5,"uteplit","u","standard",205
"280","female",16,"child","school","Izhevsk","AE","D",2,"oserjeznit","o","marginal",1
"281","female",16,"child","school","Izhevsk","AE","E",1,"ushadrit","u","nonce",0
"282","female",16,"child","school","Izhevsk","AE","D",2,"ustrozhit","u","marginal",3
"283","female",16,"child","school","Izhevsk","AE","A",5,"ogolit","o","standard",387
"284","female",16,"child","school","Izhevsk","AE","D",2,"ukonkretit","u","marginal",1
"285","female",16,"child","school","Izhevsk","AE","C",3,"osurit","o","nonce",0
"286","female",16,"child","school","Izhevsk","AE","A",5,"ukorotit","u","standard",787
"287","female",16,"child","school","Izhevsk","AE","D",2,"osurovit","o","marginal",2
"288","female",16,"child","school","Izhevsk","AE","E",1,"otovit","o","nonce",0
"289","female",16,"child","school","Izhevsk","AE","E",1,"usovremenit","u","marginal",1
"290","female",16,"child","school","Izhevsk","AE","E",1,"ogabit","o","nonce",0
"291","female",16,"child","school","Izhevsk","AE","A",5,"uskorit","u","standard",2008
"292","female",16,"child","school","Izhevsk","AE","E",1,"uprozrachit","u","marginal",4
"293","female",16,"child","school","Izhevsk","AE","D",2,"ostekljanit","o","marginal",1
"294","female",16,"child","school","Izhevsk","AE","E",1,"oshaklit","o","nonce",0
"295","female",16,"child","school","Izhevsk","AE","A",5,"uxudshit","u","standard",199
"296","female",16,"child","school","Izhevsk","AE","E",1,"ucelomudrit","u","marginal",3
"297","female",16,"child","school","Izhevsk","AE","E",1,"uchopit","u","nonce",0
"298","female",16,"child","school","Izhevsk","AE","A",5,"oslabit","o","standard",1401
"299","female",16,"child","school","Izhevsk","AE","E",1,"usaglit","u","nonce",0
"300","female",16,"child","school","Izhevsk","AE","A",5,"uprostit","u","standard",1350
"301","female",17,"child","school","Izhevsk","AF","A",5,"utochnit","u","standard",2860
"302","female",17,"child","school","Izhevsk","AF","A",5,"ozhestochit","o","standard",686
"303","female",17,"child","school","Izhevsk","AF","E",1,"ovneshnit","o","marginal",4
"304","female",17,"child","school","Izhevsk","AF","C",3,"oblusit","o","nonce",0
"305","female",17,"child","school","Izhevsk","AF","A",5,"osvezhit","o","standard",280
"306","female",17,"child","school","Izhevsk","AF","A",5,"oschastlivit","o","standard",343
"307","female",17,"child","school","Izhevsk","AF","E",1,"udamlit","u","nonce",0
"308","female",17,"child","school","Izhevsk","AF","C",3,"uvkusnit","u","marginal",1
"309","female",17,"child","school","Izhevsk","AF","E",1,"utulit","u","nonce",0
"310","female",17,"child","school","Izhevsk","AF","A",5,"objasnit","o","standard",18149
"311","female",17,"child","school","Izhevsk","AF","C",3,"obmomlit","o","nonce",0
"312","female",17,"child","school","Izhevsk","AF","C",3,"orzhavit","o","marginal",2
"313","female",17,"child","school","Izhevsk","AF","E",1,"ochavit","o","nonce",0
"314","female",17,"child","school","Izhevsk","AF","E",1,"omezhdunarodit","o","marginal",1
"315","female",17,"child","school","Izhevsk","AF","C",3,"onomit","o","nonce",0
"316","female",17,"child","school","Izhevsk","AF","A",5,"oblegchit","o","standard",1802
"317","female",17,"child","school","Izhevsk","AF","A",5,"udorozhit","u","marginal",8
"318","female",17,"child","school","Izhevsk","AF","E",1,"ukampit","u","nonce",0
"319","female",17,"child","school","Izhevsk","AF","A",5,"oslozhnit","o","standard",410
"320","female",17,"child","school","Izhevsk","AF","C",3,"omuzykalit","o","marginal",4
"321","female",17,"child","school","Izhevsk","AF","E",1,"umarvit","u","nonce",0
"322","female",17,"child","school","Izhevsk","AF","A",5,"okruglit","o","standard",939
"323","female",17,"child","school","Izhevsk","AF","C",3,"umedlit","u","marginal",1
"324","female",17,"child","school","Izhevsk","AF","A",5,"uluchshit","u","standard",1899
"325","female",17,"child","school","Izhevsk","AF","A",5,"uslozhnit","u","standard",311
"326","female",17,"child","school","Izhevsk","AF","D",2,"okochlit","o","nonce",0
"327","female",17,"child","school","Izhevsk","AF","D",2,"ukrasivit","u","marginal",1
"328","female",17,"child","school","Izhevsk","AF","E",1,"uloprit","u","nonce",0
"329","female",17,"child","school","Izhevsk","AF","C",3,"obytovit","o","marginal",3
"330","female",17,"child","school","Izhevsk","AF","A",5,"uplotnit","u","standard",201
"331","female",17,"child","school","Izhevsk","AF","E",1,"unokrit","u","nonce",0
"332","female",17,"child","school","Izhevsk","AF","C",3,"oprilichit","o","marginal",1
"333","female",17,"child","school","Izhevsk","AF","C",3,"userjeznit","u","marginal",1
"334","female",17,"child","school","Izhevsk","AF","A",5,"umenshit","u","standard",2010
"335","female",17,"child","school","Izhevsk","AF","E",1,"oduktit","o","nonce",0
"336","female",17,"child","school","Izhevsk","AF","A",5,"obogatit","o","standard",800
"337","female",17,"child","school","Izhevsk","AF","E",1,"uguzvit","u","nonce",0
"338","female",17,"child","school","Izhevsk","AF","B",4,"opoxabit","o","marginal",1
"339","female",17,"child","school","Izhevsk","AF","A",5,"uteplit","u","standard",205
"340","female",17,"child","school","Izhevsk","AF","C",3,"oserjeznit","o","marginal",1
"341","female",17,"child","school","Izhevsk","AF","E",1,"ushadrit","u","nonce",0
"342","female",17,"child","school","Izhevsk","AF","C",3,"ustrozhit","u","marginal",3
